epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.718,1.1871,1.32278,1.13928,0.95549,0.87835,0.93151,0.60679,1.19532,0.76372,1.11402,0.0700558,0.00332714,0.00332714
2,234.591,1.17769,0.76629,1.11842,0.9535,0.88781,0.93446,0.61255,1.17151,0.7498,1.11964,0.0399898,0.00659453,0.00659453
3,343.13,1.1967,0.78243,1.13772,0.95154,0.87104,0.92145,0.58863,1.24096,0.76469,1.17979,0.00985788,0.00979593,0.00979593
4,457.035,1.20527,0.75502,1.15649,0.78544,0.67896,0.72142,0.44658,1.385,1.16119,1.28157,0.009703,0.009703,0.009703
5,566.468,1.17867,0.6958,1.13799,0.96073,0.88771,0.93548,0.62643,1.17988,0.66648,1.14225,0.009604,0.009604,0.009604
6,675.474,1.15364,0.64589,1.1213,0.94523,0.87378,0.92466,0.62131,1.181,0.69101,1.14483,0.009505,0.009505,0.009505
7,782.764,1.13639,0.61967,1.1109,0.96067,0.8875,0.93659,0.63407,1.17314,0.64507,1.14107,0.009406,0.009406,0.009406
8,890.766,1.12868,0.59649,1.10232,0.96358,0.89526,0.94158,0.64239,1.176,0.61149,1.12895,0.009307,0.009307,0.009307
9,1005.2,1.10698,0.5713,1.09393,0.96985,0.88902,0.93996,0.64841,1.14944,0.60138,1.12295,0.009208,0.009208,0.009208
10,1117.18,1.09937,0.55946,1.08495,0.9778,0.89726,0.94717,0.65922,1.14398,0.58904,1.12128,0.009109,0.009109,0.009109
11,1226.41,1.09034,0.54922,1.08635,0.9727,0.90173,0.94732,0.65266,1.15563,0.58186,1.12309,0.00901,0.00901,0.00901
12,1335.29,1.08132,0.53896,1.0761,0.97277,0.89311,0.94724,0.65573,1.15682,0.58984,1.11992,0.008911,0.008911,0.008911
13,1443.85,1.07052,0.5287,1.06976,0.96364,0.91305,0.95153,0.66748,1.13336,0.55293,1.09986,0.008812,0.008812,0.008812
14,1554.31,1.06405,0.51549,1.06416,0.9784,0.91677,0.95569,0.67302,1.1267,0.54893,1.09847,0.008713,0.008713,0.008713
15,1670.92,1.05786,0.5102,1.0597,0.98005,0.91402,0.95416,0.6674,1.12333,0.53525,1.09404,0.008614,0.008614,0.008614
16,1783.21,1.04332,0.50657,1.05512,0.9726,0.9089,0.9528,0.67658,1.0997,0.53847,1.08222,0.008515,0.008515,0.008515
17,1894.42,1.04153,0.49638,1.04958,0.97513,0.92064,0.95318,0.66698,1.10739,0.52681,1.08993,0.008416,0.008416,0.008416
18,2011.78,1.03178,0.48791,1.04461,0.97652,0.90823,0.95417,0.67091,1.10549,0.52425,1.08568,0.008317,0.008317,0.008317
19,2119.35,1.02026,0.47762,1.03589,0.97778,0.9128,0.95659,0.68132,1.09573,0.52613,1.0835,0.008218,0.008218,0.008218
20,2230.65,1.01793,0.4812,1.04129,0.97446,0.9253,0.9606,0.67848,1.10456,0.52441,1.08529,0.008119,0.008119,0.008119
21,2341.54,1.01567,0.48077,1.04174,0.98079,0.91816,0.95715,0.67868,1.09765,0.51165,1.08189,0.00802,0.00802,0.00802
22,2451.9,1.00448,0.46687,1.03279,0.98457,0.91444,0.95711,0.68218,1.09913,0.50779,1.07555,0.007921,0.007921,0.007921
23,2565.99,0.99892,0.46253,1.02945,0.98405,0.92175,0.96235,0.69532,1.09755,0.49756,1.07718,0.007822,0.007822,0.007822
24,2681.2,0.99119,0.45584,1.02462,0.98275,0.92076,0.95746,0.68009,1.09901,0.49383,1.07587,0.007723,0.007723,0.007723
25,2794.55,0.98314,0.45215,1.01633,0.97766,0.91707,0.95743,0.69005,1.09063,0.50635,1.0769,0.007624,0.007624,0.007624
26,2909.1,0.97153,0.44419,1.01694,0.97967,0.92317,0.95954,0.68844,1.08881,0.47696,1.07162,0.007525,0.007525,0.007525
27,3018.01,0.96722,0.44337,1.01554,0.98793,0.9186,0.96157,0.69533,1.08771,0.49372,1.07304,0.007426,0.007426,0.007426
28,3126.28,0.95895,0.4353,1.01136,0.97769,0.92774,0.962,0.69595,1.0813,0.47434,1.07576,0.007327,0.007327,0.007327
29,3235.94,0.95763,0.43513,1.00571,0.97976,0.92995,0.96166,0.69098,1.08007,0.47742,1.0665,0.007228,0.007228,0.007228
30,3347.82,0.948,0.42859,1.00453,0.97908,0.92348,0.95829,0.68568,1.0798,0.47559,1.07006,0.007129,0.007129,0.007129
31,3450.94,0.93605,0.42383,0.99808,0.9826,0.92439,0.96047,0.68994,1.08246,0.46957,1.06935,0.00703,0.00703,0.00703
32,3561.27,0.93534,0.42408,0.99742,0.98154,0.92387,0.95994,0.68982,1.08465,0.46484,1.07023,0.006931,0.006931,0.006931
33,3670.12,0.92388,0.4204,0.99446,0.98283,0.92508,0.9629,0.69737,1.08476,0.46041,1.06538,0.006832,0.006832,0.006832
34,3780.47,0.91961,0.41322,0.98975,0.98189,0.92554,0.96415,0.70257,1.08431,0.4654,1.06902,0.006733,0.006733,0.006733
35,3897.51,0.90723,0.40898,0.98278,0.97798,0.92287,0.96112,0.6983,1.07358,0.45755,1.06209,0.006634,0.006634,0.006634
36,4016.19,0.90579,0.41127,0.98343,0.97825,0.93079,0.96555,0.70112,1.07591,0.45305,1.06422,0.006535,0.006535,0.006535
37,4129.07,0.89537,0.40125,0.9806,0.97855,0.93189,0.96243,0.69967,1.07038,0.45387,1.06036,0.006436,0.006436,0.006436
38,4238.42,0.88697,0.39988,0.97482,0.9838,0.9258,0.96476,0.70602,1.06784,0.45044,1.06305,0.006337,0.006337,0.006337
39,4358.36,0.87803,0.39443,0.97297,0.97823,0.93147,0.96296,0.69867,1.08592,0.44779,1.07215,0.006238,0.006238,0.006238
40,4469.22,0.87481,0.39288,0.97007,0.98159,0.92665,0.96354,0.70267,1.07386,0.44938,1.06703,0.006139,0.006139,0.006139
41,4576.26,0.86454,0.38772,0.96398,0.98133,0.92622,0.96326,0.69997,1.08166,0.44861,1.06657,0.00604,0.00604,0.00604
42,4683.67,0.85236,0.38696,0.96019,0.97836,0.92652,0.96107,0.70241,1.08032,0.45089,1.06917,0.005941,0.005941,0.005941
43,4796.63,0.84925,0.38333,0.96172,0.9841,0.92348,0.96195,0.69977,1.08241,0.44822,1.06899,0.005842,0.005842,0.005842
44,4908.8,0.83937,0.37612,0.95445,0.98603,0.92547,0.96176,0.70035,1.07702,0.43815,1.07067,0.005743,0.005743,0.005743
45,5013.44,0.83449,0.37667,0.95337,0.98378,0.92453,0.96223,0.69695,1.08336,0.44189,1.07027,0.005644,0.005644,0.005644
